1,1,Zilla Parishad High School Valasa
2,1,Zilla Parishad High School Valasa
3,2,Mandal Parishad Primary School Virupasamudram
4,3,Mandal Parishad Primary School V.Agraharam
5,3,Mandal Parishad Primary School  V.Agraharam 
6,3,Mandal Parishad Primary School  V.Agraharam 
7,4,Mandal Parishad Primary School Tammade Palli
8,4,Mandal Parishad Primary School Tammade Palli
9,5,Mandal Parishad Primary School Nagavanahalli 
10,6,Mandal Parishad Primary School Devaganipalli 
11,7,Mandal Parishad Primary School Gowdanakunta
12,7,Mandal Parishad Primary School Gowdanakunta
13,8,Zilla Parishad High School Amarapuram
14,8,Zilla Parishad High School Amarapuram
15,8,Zilla Parishad High School Amarapuram
16,8,Zilla Parishad High School Amarapuram
17,8,Mandal Parishad Primary School Amarapuram
18,8,Government Junior College Amarapuram
19,8,Government Junior College Amarapuram
20,9,Mandal Parishad Primary School PulliKunta 
21,10,Mandal Parishad Primary School  Veerapuram
22,11,Mandal Parishad Upper Primary School Maddankunta 
23,11,Mandal Parishad Upper Primary School Maddankunta 
24,11,Mandal Parishad Upper Primary School Maddankunta 
25,12,Mandal Parishad Primary School Halukuru
26,13,Mandal Parishad Primary School Kachikunta 
27,14,Mandal Parishad Primary School Huduguru
28,15,Mandal Parishad Primary School Chitnaduku  
29,16,Mandal Parishad Primary School  Halukur
30,17,Mandal Parishad Primary School Nidragatta
31,17,Mandal Parishad Primary School Nidragatta
32,18,Mandal Parishad Primary School Yarraguntapalli
33,19,Mandal Parishad Upper Primary School Kenkera 
34,19,Mandal Parishad Upper Primary School Kenkera 
35,20,Mandal Parishad Primary School Hemavathi
36,20,Mandal Parishad Primary School Hemavathi
37,21,Mandal Parishad Primary School Korrevu
38,21,Mandal Parishad Primary School Korrevu 
39,22,Mandal Parishad Upper Primary School Gune Halli  
40,22,Mandal Parishad Upper Primary School Gune Halli  
41,23,Zilla Parishad High School Shivaram
42,23,Zilla Parishad High School Shivaram
43,23,Zilla Parishad High School  Shivaram
44,24,Mandal Parishad Primary School Gollapalli 
45,25,Mandal Parishad Primary School Pelubanda 
46,26,Mandal Parishad Primary School  Kanakapalli
47,27,Mandal Parishad Primary School Aldapalli 
48,28,Mandal Parishad Primary School Basvana Halli
49,28,Mandal Parishad Primary School Basvanahalli
50,29,Mandal Parishad Primary School Aronahalli 
51,30,Mandal Parishad Primary School Hanumanthana Halli
52,31,Mandal Parishad Primary School Upparlapalli 
53,32,Mandal Parishad Primary School Kumbarnagepalli
54,32,Mandal Parishad Primary School Kumbarnagepalli
55,33,Mandal Parishad Primary School Karikera
56,34,Mandal Parishad Primary School Dasarapalli 
57,35,Mandal Parishad Upper Primary School Hirethurpi 
58,35,Mandal Parishad Upper Primary School Hirethurpi 
59,36,Mandal Parishad Primary School Jambulbanda 
60,36,Zilla Parishad High School Jamulabanda 
61,37,Mandal Parishad Primary School Ramaiahna Hatti
62,37,Mandal Parishad Primary School Ramaiahna Hatti 
63,38,Mandal Parishad Primary School Kalluroppam
64,39,Mandal Parishad Upper Primary School Mynaganapalli 
65,40,Mandal Parishad Primary School N.R.Ropam
66,41,Zilla Parishad High School Rallapalli
67,42,Mandal Parishad Primary School Shankargallu
68,42,Mandal Parishad Primary School Shankargallu
69,43,Mandal Parishad Primary School Singepalli 
70,44,Zilla Parishad High School Gudibanda
71,44,Zilla Parishad High School Gudibanda
72,45,Mandal Parishad Primary School Mopurugundu
73,46,Mandal Parishad Primary School Devara Hatti 
74,47,Mandal Parishad Primary School Guddada halli 
75,48,Mandal Parishad Primary School Phalaram 
76,49,Mandal Parishad Primary School Chigaturpi
77,50,Mandal Parishad Primary School Thalikera
78,50,Mandal Parishad Primary School Thalikera 
79,51,Mandal Parishad Upper Primary School Nache Palli
80,52,Zilla Parishad High School Morubagal
81,52,Zilla Parishad High School Morubagal
82,53,Mandal Parishad Primary School BallathimmanaPalli 
83,54,Mandal Parishad Primary School Thimmalapuram 
84,55,Mandal Parishad Primary School Gune Morubagal
85,56,Mandal Parishad Primary School Balepalli
86,57,Mandal Parishad Upper Primary School Mutukuru
87,57,Mandal Parishad Upper Primary School Mutukuru
88,58,Zilla Parishad High School Kattakinda palyam 
89,58,Zilla Parishad High School Kattakinda palyam 
90,59,Mandal Parishad Primary School Kurubara Halli
91,60,Mandal Parishad Primary School  Chinna choragiri 
92,60,Mandal Parishad Primary School  Chinna choragiri 
93,61,Zilla Parishad High School Mandalapalli
94,61,Zilla Parishad High School Mandalapalli
95,61,Zilla Parishad High School Mandalapalli
96,62,Mandal Parishad Primary School Konkallu
97,63,"Mandal Parishad Primary School Somsengundlu ,"
98,63,"Mandal Parishad Primary School  Somsengundlu ,"
99,64,Mandal Parishad Primary School S.Rayapuram
100,65,"100-M Rayapuram, Zilla Parishad High School"
101,65,"101-M Rayapuram, Zilla Parishad High School"
102,65,"102-M Rayapuram, Zilla Parishad High School"
103,66,"103-Hunisekunta, Mandal Parishad Primary School"
104,67,"104-H  T Halli, Zilla Parishad High School"
105,67,"105-H T Halli, Zilla Parishad High School"
106,68,"106- Jeerigepalli, Mandal Parishad Primary School"
107,69,"107-Mallinamadugu, Mandal Parishad Primary School"
108,70,"108-Bommagondanahalli, Mandal Parishad Upper Primary School"
109,71,"109-Mallasamudram, Mandal Parishad Primary School"
110,72,"110-Thirumaladevarapalli, Mandal Parishad Upper Primary School"
111,73,"111-Agraharam, Mandal Parishad Upper Primary School"
112,74,"112-Hottebetta, Zilla Parishad High School"
113,75,"113-Kottapalyam, Mandal Parishad Primary School"
114,76,"114-Rolla, Zilla Parishad High School"
115,76,"115-Rolla, Zilla Parishad High School"
116,76,"116-Rolla, Zilla Parishad High School"
117,76,"117-Rolla, Zilla Parishad High School"
118,76,"118-Rolla, Zilla Parishad High School"
119,77,"119-Gudduguriki, Mandal Parishad Upper Primary School"
120,77,"120-Gudduguriki, Mandal Parishad Upper Primary School "
121,78,"121-Dasappa Palyam, Mandal Parishad Upper Primary School"
122,78,"122-Dasappa Palyam, Mandal Parishad Upper Primary School"
123,79,"123-Ratnagiri, Zilla Parishad High School"
124,79,"124-Ratnagiri, Zilla Parishad High School"
125,80,"125-Alupanapalli, Zilla Parishad High School"
126,81,"126-Kaki, Mandal Parishad Upper Primary School"
127,82,"127-K Byadigera, Mandal parishad Kannada Primary School"
128,82,"128-K Byadigera, Mandal parishad Kannada Primary School"
129,83,"129-Ranganahalli, Mandal Parishad Primary School"
130,84,"130-Dodderi, Mandal Parishad Primary School"
131,85,"131-Pilligundlu, Mandal Parishad Upper Primary School"
132,86,Mandal Parishad Primary School Karidasana  Halli
133,86,Mandal Parishad Primary School Karidasana halli 
134,87,Mandal Parishad Upper Primary School Aludi
135,88,Mandal Parishad Upper Primary School Hallikera
136,88,Mandal Parishad Upper Primary School Hallikera Hallikera
137,89,Zilla Parishad High School Ingluru
138,90,Mandal Parishad Primary School Muthe palli  
139,91,Mandal Parishad Upper Primary School Dokkala Palli
140,92,Zilla Parishad High School Madhudi
141,92,Zilla Parishad High School Madhudi
142,92,Zilla Parishad High School Madhudi
143,93,Mandal Parishad Primary School Kenkera  
144,94,Zilla Parishad High School P. Byadigera
145,94,Zilla Parishad High School P. Byadigera
146,95,Mandal Parishad Primary School Hullikera
147,96,Mandal Parishad Upper Primary School Narasambudhi
148,96,Mandal Parishad Upper Primary School Narasambudhi
149,97,Mandal Parishad Upper Primary School Ramanahalli 
150,97,Mandal Parishad Upper Primary School Ramanahalli 
151,98,Zilla Parishad High School Irigepalli  
152,98,Zilla Parishad High School Irigepalli 
153,99,Zilla Parishad High School Agali
154,99,Zilla Parishad High School Agali
155,99,Zilla Parishad High School Agali
156,100,Mandal Parishad Primary School Mukkadampalli  
157,101,Mandal Parishad Primary School Dase gowdana halli 
158,102,Mandal Parishad Primary School Kodihalli
159,102,Mandal Parishad Primary School Kodihalli
160,103,Zilla Parishad High School Ragelinganahalli 
161,104,Zilla Parishad High School A.R.Roppam 
162,104,Zilla Parishad High School A.R.Roppam 
163,105,Zilla Parishad High School Amidalagondi
164,106,Mandal Parishad Upper Primary School T D Palli 
165,107,Mandal Parishad Primary School H.R. Palyam 
166,108,Mandal Parishad Primary School E. Ramagiri 
167,109,Mandal Parishad Primary School Yeguva Achampalli 
168,110,Mandal Parishad Primary School Diguva Achampalli
169,111,Zilla Parishad High School Chandaka charla
170,111,Zilla Parishad High School Chandaka charla
171,112,Mandal Parishad Primary School Jammanipalli 
172,113,Mandal Parishad Primary School Gowdanahalli
173,113,Mandal Parishad Primary School Gowdanahalli
174,114,Mandal Parishad Upper Primary School R.Ananthapuram
175,114,Mandal Parishad Upper Primary School R.Ananthapuram
176,115,Zilla Parishad High School Rekula kunta 
177,115,Zilla Parishad High School Rekula kunta 
178,116,Mandal Parishad Primary School Diguva Echaladdi
179,117,Zilla Parishad High School Bullasamudram
180,117,Zilla Parishad High School Bullasamudram
181,118,Mandal Parishad Primary School B.Rayapuram
182,119,Mandal Parishad Primary School Cheepuleti 
183,120,Mandal Parishad Primary School Vadrapalyam
184,121,Mandal Parishad Primary School Mallinayakana halli 
185,122,"Mandal Parishad Primary School, (M.R.School) Madakasira"
186,122,"Mandal Parishad Primary School, (M.R.School)  Madakasira"
187,122,"Mandal Parishad Primary School, (M.R.School)  Madakasira"
188,122,"Mandal Parishad Upper Primary School, Penukonda Road Madakasira"
189,122,Government Junior College  Madakasira
190,122,Government Junior College  Madakasira
191,122,"Mandal Parishad Primary School, 
(8th Ward) Madakasira"
